,character,line
8332,Damon, It's okay
8333,Elena, How's Caroline?
8334,Bonnie, She's weak. They don't know if she's going to make it
8335,Elena, What?
8336,Elena, Is there something that we can do? Like a spell or something?
8337,Damon," She doesn't know how, do you?"
8338,Bonnie," No, I don't"
8339,Damon," No, you don't because it took Emily years to learn a spell like that"
8340,Bonnie," Now I can take down a vampire, this spell was easy to learn"
8341,Damon, I can give Caroline some bl*od
8342,Elena," No, no way"
8343,Damon," No, just enough to heal her, she will be safe in the hospital and it will be out of her system in a day, she will be better Elena"
8344,Elena," It's too risky, I can't agree to that"
8345,Bonnie, Do it. This is Caroline. We can't let her die. Do it
8346,Damon," If I do this, you and me, call truce?"
8347,Bonnie," No but you'll do it anyway, for Elena"
8348,Damon, I know this is probably the last thing you want to do right now but we should talk about what happened tonight
8349,Elena," Yeah, one of the tomb vampires has got into to house and almost k*ll John"
8350,Damon, What? When? What are you talking about? After I left?
8351,Elena, You were there?
8352,Damon, Come on Elena you know I was
8353,Elena, When were you at the house?
8354,Damon," Really? Earlier, on the porch, we were talking, exposed our feelings, come on, we kissed Elena!"
8355,Elena," Okay, I don't have time for this Damon"
8356,Damon, If you want to forget what happened fine but I can't
8357,Jenna," Elena, I came as soon as I get you message. How is John?"
8358,Elena, Where have you been?
8359,Jenna," At the fire department, I deferred a report. I told you earlier"
8360,Elena," No, you didn't"
8361,Jenna, Yes I did
8362,Elena," No, Jenna, you didn't"
8363,Jenna, Yes I did
8364,Damon," Oh, you got to be kidding me"
8365,Stefan, Hey! How was Caroline?
8366,Katherine, Not good
8367,Katherine, Just what I needed
8368,Stefan, Katherine
8369,Katherine, I least I fooled one of you
8370,Katherine, Feeling better?
8371,Elena, Stefan?
8372,Stefan, What happened?
8373,Damon, Katherine happened
8374,Damon, Did she say what she wanted?
8375,Stefan, No
8376,Damon, This women certainly knows how to make an entrance
8377,Stefan, She said she fooled one of us at least. What is that mean?
8378,Damon, She pretended to be Elena too when I showed up earlier tonight
8379,Elena," I told Jeremy, I can't lie to him anymore"
8380,Stefan, Are you alright?
8381,Elena," No, I'm not alright. I thought that with all the tomb vampires gone things were getting better"
8382,Stefan," I know, we all did"
8383,Elena," Katherine was in this house, that means she's been invited in, what are we gonna do?"
8384,Damon, Move
8385,Elena," Very helpful, thank you"
8386,Damon," Katherine wants you dead, there's zero you can do about it, you will be dead but you're not. So clearly she has other plans"
8387,Stefan, Right and we need to find out what those other plans are and not provoke her in the process. What happened tonight when you thought she was Elena?
8388,Damon, To risk another front line encroaching on your very crowded forehead … We… kissed
8389,Elena, And you thought it was me?
8390,Stefan, What do you mean you kissed?
8391,Damon," You know, when two lips pucker and then"
8392,Damon, Don't be obvious Stefan
8393,Elena," Stefan wait, he kissed Katherine, not me"
8394,Elena, I wouldn't do that. We don't have time for this guys
8395,Stefan, Later
8396,Elena, John must know something. It has to be a reason why Katherine tried to k*ll him
8397,Damon," She's Katherine, she loves to play games and you're fooling yourself if you think you're going to find out what she's been up to before she wants you to know"
8398,Stefan," No, actually Elena's right, John could know something threw Isobel. You mother, she was in touch with Katherine so maybe we can go to the hospital and talk"
8399,Damon, I've got a better idea
8400,Elena, What's that?
8401,Damon, I'm just gonna ignore the bitch. See you
8402,Elena, Is that smart?
8403,Damon," If Katherine thinks she's been ignored it will low her out, she'll make a move"
8404,Stefan, Yeah? And then what?
8405,Damon," Stake her; rip her head off, something poetic. We'll see"
8406,Bonnie, You've been here all night?
8407,Matt," Yeah, with the sheriff"
8408,Bonnie, No one else?
8409,Matt, Stefan's brother Damon stopped by late last night
8410,Bonnie, How is Caroline today?
8411,Matt, See for yourself
8412,Caroline, Jersey Shore's on
8413,Caroline," Careful, still a little sore"
8414,Bonnie, Sorry
8415,Caroline, its okay but they say I'm healing very quick
8416,Matt, My turn
8417,Caroline, Why are you crying?
8418,Bonnie, I'm just happy you're okay
8419,Caroline, I love you guys
8420,Bonnie, We love you
8421,Carol Lockwood, I want to know exactly who's responsible for k*ll my husband
8422,Sheriff Forbes, I'm looking into it but you have to be straight. Is there any reason Richard was affected by the vampire device?
8423,Carol Lockwood, Are you implying that he was one of them?
8424,Damon," No, no one's implying that"
8425,Carol Lockwood," Your deputies screwed up, plain and simple which makes you responsible"
8426,Damon, Carol…
8427,Sheriff Forbes, Your husband is the one who helped John Gilbert execute his idiot plan in the first place 
8428,Damon, Liz…
8429,Carol Lockwood, Someone got my husband k*ll
8430,Damon," We're all in edge here, you've suffer a great loss, the whole town has. We have to stick together okay? Trust each other, we're gonna get through this"
8431,Tyler, So the black sheep returns
8432,Mason, Tyler?
8433,Tyler, Yeah
8434,Mason, What happened to you? In my mind you were twelve years old
8435,Tyler," Then that's two years older than the last time you saw me, Uncle Mason"
8436,Mason, Good to see you again
8437,Tyler, It's good to see you too. Come on inside
8438,Stefan, Ready for this?
8439,Elena, John?
8440,Elena," I'm Elena, I'm not Katherine"
8441,Stefan, We know she did this to you
8442,Elena, We need to know why
8443,John, Where is she?
8444,Stefan, You tell us
8445,John, I don't know
8446,Stefan," You're a little too weak to play tough guy, I want you to sit back and answer a few questions"
8447,Elena," Please, tell us why she's here. What does she want?"
8448,Stefan, She'll try again; we can't help you if you don't confide in us
8449,John, In you?
8450,Stefan, In your daughter then
8451,John, My daughter should have put you a stake to your heart by now
8452,John," I never spoke to her directly, she never trusted me"
8453,John, So either k*ll me or get out because I can't stand the sight of you with my daughter
8454,Elena, You see the problem with such hatred? It's gonna get you k*ll
8455,Stefan, You may be okay with dying but I have a better plan for you
8456,Stefan," You know, with my bl*od in your system all I have to do is k*ll you. Now take my advice… Leave town, Elena doesn't want you here. You've got about 24 hours before the bl*od leaves your system, that's enough time to disappear or I swear to god I will turn you into a vampire and I will watch you hate yourself more than you already do"
8457,Stefan, The clock starts now
8458,Damon, Who's the guy with Carol?
8459,Sheriff Forbes," It's the mayor's younger brother, Mason Lockwood"
8460,Damon, Is he in the council? Like John Gilbert when he rolled in?
8461,Sheriff Forbes," He's nothing like John. For one, he's not an ass. He's not a believer either. He wants nothing to do with the council. He's too preoccupied finding the perfect wave"
8462,Damon, Thanks see you
8463,Tyler," Hey Elena, thanks for coming, come on in"
8464,Elena," Hey, I just have to swim by home to pick up Jenna and Jeremy so we can go to the Lockwood's. How did you leave him there, John?"
8465,Stefan, I… I asked him to leave town
8466,Elena, Asked? You threatened him
8467,Stefan, Yeah I threatened him
8468,Elena," Good. I want him gone, Stefan. I know that I shouldn't feel that way but I don't want someone like that in my life or Jeremy's life"
8469,Stefan, I know
8470,Elena, So what now?
8471,Stefan, Now… I need to go find Damon
8472,Elena," Please Stefan, don't fight with him"
8473,Stefan," No Elena, he tried to kiss you I'm not okay with that"
8474,Elena," That's not the problem, Katherine is. She's already messing with both of your heads and Damon is not stable when it comes to her. The last thing we need is to make things worse"
8475,Bonnie, Did you know the Gilbert device affected Tyler Lockwood?
8476,Damon," Well, I know mayor in"
8477,Bonnie, Don't you want to know why?
8478,Damon," Yes Bonnie, I would love to know why. A non-vampire was tortured by the vampire torture device that you let John Gilbert use against us. Speaking of your guilt how is Caroline?"
8479,Bonnie, Much better
8480,Damon, You're welcome
8481,Bonnie," No, you're welcome"
8482,Damon, Why am I welcome?
8483,Bonnie, You live to see another day
8484,Damon," No good deal goes unpunished with you, doesn't?"
8485,Bonnie," Doesn't undue the bad. I know what you are Damon, you might have Elena and the sheriff and everybody else fooled but not me. One wrong move and I'm gonna take you out"
8486,Damon, Now you need to stop with the witches' brood. You're starting to believe your own press 
8487,Bonnie," I'm sorry, you were saying?"
8488,Bonnie, Oh my god! Damon drives me crazy. He's walking around like he's some kind of hero for healing Caroline when it's his fault all of this happened in the first place 
8489,Katherine, I'm sorry Bonnie. What Damon's done is just awful
8490,Bonnie," Okay, better. Hateful Damon moment over"
8491,Bonnie, I've got to find Tyler and Give my respects. I'll be back
8492,Elena, Allo?
8493,Bonnie, Elena? Where are you?
8494,Elena," Bonnie, I know I'm late. I'm getting in the car now. I'll be here in 5"
8495,Katherine," We haven't officially met, I'm Katherine"
8496,Bonnie, I know who you are
8497,Katherine," Of course you do. You're the best friend right? I've been putting all the pieces of Elena's life together. Isobel told me it was a bit of a puzzle. I do know who Jenna and Jeremy are and I met that delicious ex-boyfriend Matt, he was sweet on Caroline, and then there's you, the vampire-hating Bennett witch. Did I do good?"
8498,Katherine, I've been around a long time Bonnie; you have to do better than that
8499,Katherine, Nice
8500,Stefan, Katherine
8501,Katherine, Stefan
8502,Stefan, Leave her alone
8503,Katherine, Okay
8504,Stefan, What are you doing here?
8505,Katherine," After the way you treated me last night, I thought that a public place would be less violent"
8506,Stefan, You're taking this a little far don't you think? Elena could walk in at any moment
8507,Katherine," But that's part of the fun Stefan. Damon's here, somewhere, I've been avoiding him"
8508,Matt, Hey guys
8509,Katherine," Hey Matt. I heard that Caroline is doing much better. Her recovery was practically miraculous, you must be so relieved"
8510,Matt, I am. Thanks Elena
8511,Katherine, Oh! His eyes are so blue!
8512,Stefan, You need to leave now
8513,Katherine, You're hurting my feelings Stefan. Damon was much happier to see me but he thought I was your girlfriend so…
8514,Stefan," Katherine, I'm not doing this with you"
8515,Katherine," Okay, how we don't have a couple's fight in front of all of your friends? Walk with me"
8516,Stefan, Just tell me what you're doing here
8517,Katherine, Maybe I missed you. Is that an acceptable reason?
8518,Stefan, What game are you playing?
8519,Katherine," Why, you want to play with me?"
8520,Stefan," I don't know, how can I play if I don't know the rules? "
8521,Katherine, No rules Stefan. Don't you remember? No rules
8522,Jenna, Looks like the whole town has turned out
8523,Elena, Yeah. Well he is… he was the mayor
8524,Jeremy, Why are they doing this for the funeral?
8525,Jenna, That's what people do. The Lockwood's were here for us when we went through this. It'll be quick; you drop off the food and pay respects and go
8526,Jeremy, In and out? It sounds like a plan
8527,Elena," You guys go ahead, I'll be right there okay?"
8528,Elena," Hey, how are you doing?"
8529,Damon," Great Elena. Walking on sunshine, thanks for asking"
8530,Elena, Damon
8531,Damon, Elena
8532,Elena," We should be able to talk about this. Damon, we're close enough now. I really want to know how you are doing"
8533,Damon, I kissed you; I thought you kissed me back… Doppelganger hijinks ensued… How do you think I'm doing?
8534,Elena, I think you're hurt
8535,Damon," No, I don't get hurt, Elena"
8536,Elena," No, you don't admit that you get hurt. You get angry and cover that up and then you do something stupid"
8537,Damon, You're scared. You think Katherine is gonna send me off the depend don't you? I don't need her for that.
8538,Damon, You know… why this is such a surprise that I would kiss you?
8539,Elena, That's not a surprise. I'm surprised that you thought I would kiss you back
8540,Damon, Now I'm hurt
8541,Bonnie, Elena!
8542,Elena," Bonnie, what happened ?"
8543,Jeremy," Sorry, I was just looking for the…"
8544,Tyler, Bathroom is down the hall
8545,Jeremy, Hey look… I'm sorry about your dad
8546,Tyler, Today has been a big day as sorry from people who don't really give a crap
8547,Jeremy," I remember when my dad died; I had a house full of strangers telling me how a great guy he was. Anyway, I know how hard all this is"
8548,Tyler, The difference is in your case it was true. My dad was a dick
8549,Jeremy," Yeah, yeah he was"
8550,Tyler, I found this on his desk
8551,Tyler," He won't mind, he's dead"
8552,Jeremy," Yeah, you know what, sure"
8553,Mason," Hey, what's going on here Tyler?"
8554,Tyler," Nothing, nothing"
8555,Mason, You don't have somewhere else to be?
8556,Katherine, The Lockwood's have a lot more land than they used to. These actions from the tomb vampires built them quite a fortune
8557,Stefan," Yeah, why did you want them dead? You're the one who turned most of them"
8558,Katherine, There's nothing more annoying than revengeful vampire Stefan. Just ask John Gilbert
8559,Stefan, You haven't changed at all don't you?
8560,Katherine," But you have. You're stronger, meaner, sexy"
8561,Stefan, Don't flirt with me Katherine. I'm not Damon; I haven't spent one hundred and forty five years obsessed with you
8562,Katherine," Yeah, based on your choice of woman I'd say otherwise. Although I admit it does bother me that you're falling in love with someone else"
8563,Stefan," I was never in love with you, Katherine. You compelled me so none of my feelings were real"
8564,Katherine, Believe what you want Stefan but I know the truth and deep down so do you
8565,Stefan," The truth? Well the truth is, you're the same lying, selfish, manipulative bitch that you've always been. So, whatever it is that brought you here, why don't you just get down with it and leave town? Because if you don't, I will hunt you down and I will rip your heart out"
8566,Katherine, You want to know why I'm here Stefan? I came back for you 
8567,Stefan, Well the problem Katherine is that I hate you
8568,Katherine," You hate me uh? That sound like the beginning of a love story Stefan, not the end of one"
8569,Elena, You're gonna be okay?
8570,Stefan," Yeah, it will heal"
8571,Elena, It's not what I meant
8572,Stefan, I was trying to figure her out. I was playing along and let her get to me
8573,Damon," I tried to track her but she's gone. Ouch, cover up Fabio. You have a crazy ex on the loess"
8574,Damon," You better watch out, looks like Katherine is trying to steal your guy"
8575,Stefan, it's not what's happening
8576,Damon, Isn't it? I mean it's only fair since I went after your girl
8577,Elena, I'm gonna go check on Jenna and Jeremy. Let me know when you guys are done
8578,Damon," So what's gonna be uh? Fight to the death? Go ahead, make your threat, stake your claim"
8579,Stefan, I'm not gonna fight you
8580,Damon, Why? I'd fight me
8581,Stefan," Katherine is gonna try to play us against each other, you do know that right?"
8582,Damon," Brother, don't you worry, our bound is unbreakable"
8583,Stefan," We need to stay united against her. So yes, as much as I would like to k*ll you, I'm not gonna fight you "
8584,Damon, I kissed Elena 
8585,Stefan," Because you feel something for her, because you actually care and I'm not gonna let Katherine coming here and destroy that part of you that is finally, after all of this time, willing to feel something. She will try to"
8586,John, Jeremy
8587,Jeremy, What are you doing here?
8588,John," I'm packing, leaving"
8589,Jeremy, So you figured you k*ll all you evil vampires and then you leave town?
8590,John, Not all but enough. For now. Can you tell Elena I say goodbye?
8591,Jeremy, Why don't you tell her yourself?
8592,John," You know Jeremy, I was taught to hate them, the vampires. That's what I know; that's what you father knew"
8593,Jeremy, My father would have seen things differently
8594,John," No, he may have done things differently but there's no other way to see it"
8595,Jeremy," That ring on your finger, the one's that supposed to protect you, that was my father's right?"
8596,John, Yeah
8597,Jeremy," Then why didn't it protect him, why is he still dead?"
8598,John," What happened to your parents wasn't supernatural, it was an accident. There's nothing that can save us from that"
8599,Jeremy," I wonder what he'd think of all this, of me"
8600,John, He would think that you're just too young. You're still finding yourself but you are a Gilbert and you've been exposed to this town's darkest secrets and with that come responsibility
8601,Jeremy, I don't believe in that family legacy stuff
8602,John, Sooner or later you'll have to
8603,Carol Lockwood, Tyler! What are you doing?
8604,Tyler, I hate him
8605,Carol Lockwood," Oh, don't say that"
8606,Tyler, Let go of me!
8607,Tyler, Let go of me!
8608,Mason, Tyler! Hey!
8609,Tyler, I said let go of me!
8610,Mason," Tyler! Look at me, look at me. Calm down, settle down"
8611,Carol Lockwood, Oh god
8612,Damon, Very brave of you to come here
8613,Katherine, I wanted to say goodbye
8614,Damon, Leaving so soon?
8615,Katherine, I know when I'm not wanted
8616,Damon, Don't pout; it's not attractive about a woman of your age
8617,Katherine," Ouch. What, no goodbyes kiss?"
8618,Damon, What if I k*ll you instead? What are you doing here?
8619,Katherine," Nostalgia, curiosity etc."
8620,Damon, I like better the enigmatic Katherine. What are you up to?
8621,Katherine," Trust me Damon, when I'm up to something you'll know it. Come on, kiss me or k*ll me. Which will it be Damon? We both know that you're only capable of one"
8622,Katherine," My sweet, innocent Damon"
8623,Damon," Okay, brief pause. I have a question. Answer it and its back to fireworks and rockets wire glare. Answer it right and I'll forget the last one hundred and forty five years that I spent missing you. I'll forget how much I loved you, I'll forget everything and we could start over. This could be our defining moment ‘cause we have the time, it's the beauty of eternity"
8624,Damon," I just need the truth, just once"
8625,Katherine," Stop, I already know the question and its answer. The truth is… I've never loved you, it was always Stefan"
8626,Elena," Oh god, you scared me"
8627,Damon," I'm just doing my part, the neighborhood watch"
8628,Elena," Thanks for looking out for us, for me"
8629,Damon," That's me, the trusted bodyguard, calm in crisis"
8630,Elena," You've been drinking? And you're upset, that's not a good combination"
8631,Damon, No I'm not upset. Upset is an emotion specific to those who care
8632,Elena," Come on Damon. That's a lie, you care"
8633,Damon, You are surprise that I thought you would kiss me back? You can't imagine that I believe you would want to?
8634,Elena, Damon…
8635,Damon," No, all we've been doing here means something. You are the liar Elena. There is something going on between the two of us and you know it"
8636,Damon," And you're lying to me, you're lying to Stefan and most of all you're lying to yourself. I can prove it"
8637,Elena, No
8638,Elena, Damon don't! What's wrong with you?
8639,Damon, Am I lying about this?
8640,Elena," Stop, you're better than this, come on!"
8641,Damon, That's where you're wrong
8642,Elena," No, no Damon. I care about you. Listen to me, I care about you. I do but… I love Stefan, it's always gonna be Stefan"
8643,Jeremy," Elena, what's going on in here?"
8644,Elena," Nothing Jeremy, it's okay, just go back to bed"
8645,Damon, No it's not okay Elena
8646,Damon, He wants to be a vampire
8647,Elena, No Damon stop it!
8648,Damon," You want to turn off the pain? It's the easiest thing in the world. The part of you that cares just goes away, all you have to do is flip the switch and snatch!"
8649,Elena, No!
8650,Mason, Your mom's out. I think she propped a couple of pills
8651,Tyler, I didn't mean to freak her out. I don't know why I get like this
8652,Mason, It's the curse of being a Lockwood
8653,Tyler, Is this how you get the shill gene?
8654,Mason, I didn't. I've just learned how to manage it
8655,Tyler, I don't want to be like this anymore
8656,Mason, None of us do. That's why it's a curse Ty
8657,Stefan," He saw the ring that's why he did it, he knew"
8658,Elena, He didn't see the ring
8659,Stefan," It's Katherine. She got on his skin, she undead everything that was good about him"
8660,Elena," There's nothing good about him. Stefan, not anymore. He just decided what he wants. He just don't want to feel, he wants to be hated, it's just easier that way. He got his wish,"
8661,Elena, I hate him; Stefan
8662,Stefan, I know
8663,Elena," Stefan, is he okay?"
8664,Stefan, He's okay
8665,Jeremy," he k*ll me, Damon k*ll me"
8666,Elena, Oh god
8667,Caroline, Elena?
8668,Katherine, Hey Caroline
8669,Caroline, What are you doing here?
8670,Katherine, My name is Katherine. I was hoping you could get the Salvatore's brothers a message for me
8671,Caroline, What are you talking about? What message?
8672,Katherine, Game on
8673,Caroline, Excuse me? Where is everyone?
8674,Nurse, It's the middle of the night honey
8675,Caroline," It is? Oh, uh… have you seen my mom?"
8676,Nurse, She left after dinner with your boyfriend and then your friend Elena stepped by
8677,Caroline," She did? Yeah, she did but she said her name was Katherine. Can I just get something to eat?"
8678,Nurse, Breakfast comes around seven
8679,Caroline, But I'm hungry
8680,Nurse, You should go back to sleep
8681,Caroline, What is that smell?
8682,Nurse, Back to bed
8683,Nurse, What are you doing in here?
8684,Caroline, I don't know
8685,Nurse, You need to go back to bed
8686,Bonnie," Katherine looked just like you, it was freakish"
8687,Elena," She is my ancestor. Eh, I move the student booth into the cafeteria"
8688,Bonnie, Your vampire ancestor and she didn't just resemble you like a family member would. She was you
8689,Elena," I don't know, I can't explain it. It's creepy, that's all you got"
8690,Bonnie, How do you know she's not still out there pretending to be you?
8691,Elena, I don't but I could sit here and be tortured by the not-knowing or I could get these prices to the ring toss
8692,Bonnie, Have you talk to Damon since he k*ll Jeremy or tried to k*ll Jeremy?
8693,Elena," No Bonnie, I haven't and I won't and I don't want to talk about Damon or anything else that's vampire relating okay?"
8694,Elena," I'm human. I have to do human stuff. Otherwise, I'm going to go crazy"
8695,Bonnie," Okay, I'm sorry, let's focus. We have to make Caroline proud or she will k*ll us. I don't know how she does all of this"
8696,Elena," Well because she's not human, obviously"
8697,Bonnie, Obviously
8698,Stefan, It's the same as the bracelet Elena gave you
8699,Jeremy, It protects me from compulsion
8700,Stefan, Vervain is toxic to vampires
8701,Jeremy, Like poison?
8702,Stefan," Yeah, it's very poisonous. It keeps them out of your head"
8703,Jeremy, but why vervain?
8704,Stefan," don't know, certain natural herbs and roots and other elements are just harmful to vampires"
8705,Jeremy, Like a stake to the heart?
8706,Stefan, Right but it has to be wood
8707,Jeremy, You're pretty confident in yourself telling me all the different ways I could k*ll you
8708,Stefan," Jeremy, if I thought you wanted to k*ll me we will be having a much different conversation"
8709,Jeremy," Yeah, Damon is the one that deserves it"
8710,Stefan," I want you to forget about Damon, all right? He's hundred times stronger than you and right now he's not stable. You got to try to move forward"
8711,Jeremy, I was k*ll by a vampire and brought back by a magic ring. How do you move forward from that?
8712,Stefan," Right. Well, today we have a nice little distraction encouraged by the slave driver Elena"
8713,Stefan, Hello Elena
8714,Elena," Hey, do you…"
8715,Jeremy," Yeah, yeah, I set up the golden fish toss all through hundred golden fish. It's gonna be epic!"
8716,Stefan," He's gonna be alright, he's just been through a little bit of a whole deal"
8717,Elena, I was just hoping that this carnival would wild him back into the land of a high school teenager
8718,Stefan, That was what we were doing here?
8719,Elena," Yes, we all are. We're gonna be boring high school students who live in a world where the ""v"" word is not ordered"
8720,Stefan, Got it!
8721,Elena," Then later you're going to take me on the Ferris wheel, we're gonna ride the very top and then you're gonna kiss me and my heart will flatter like a normal high school girl. Do you see a redeem theme here?"
8722,Stefan," Yeah I know, I'm seeing it and I'm liking it but I have a quick question. Uh, what do we do about Damon?"
8723,Elena," Uh, no ""D"" word okay? That has been deleted from the list of topic that we can discuss"
8724,Stefan," Unfortunately Katherine showing up has been a little bit of an odd place, little off-kidder, kind of dangerous. Who knows what he's up to?"
8725,Carol, So I understand John Gilbert has left town. Have they found the vampire that attacked him?
8726,Damon," Well, the sheriff has asked me to take the lead on that and I promess to you I will get to the bottom of it"
8727,Carol," Which brings me to my next subject. With Richard gone, I'll be acting as interim mayor until the elections and I'm going to need someone to spill out the council. I'd like that person to be you"
8728,Damon, Whatever you need Carol. As a founding family member it's something that's very close to me so I would be honored to help keep this town safe from vampires
8729,Damon, Is it safe to talk?
8730,Carol," It's my brother-in-law, Mason. He's still visiting. I just don't want him to hear us. He didn't want any part of the council when he lived here and I see no reason to bring him to it now"
8731,Tyler, When was that? Like seven?
8732,Mason, Six. I don't count the last one. You crawled
8733,Tyler, What?
8734,Mason, I think Grandma Lockwood actually passed you her walker
8735,Tyler," Yeah, okay. Shoes off. Mud, my mom…"
8736,Mason," Yeah, yeah."
8737,Mason," So all this anger and aggression you're talking about, you notices a difference when you exercise?"
8738,Tyler," Dude, I play 3 varsity sports. I work out 4 times a week and run 3, I'm gonna say no "
8739,Mason, Do you have episodes? What happens exactly?
8740,Tyler," Most of time normal, I get angry typically over nothing. I'm an angry guy. I know it just amplifies and I go off"
8741,Mason, You black out?
8742,Tyler," Yeah, it's like I go blind with rage"
8743,Mason," Is there a pattern? Like once a month, only at night?"
8744,Tyler," All I know is I loose myself, you know? For that time I become something else and I hate it"
8745,Carol, More tea? Damon?
8746,Damon," Oh yes, please. Thank you Carol"
8747,Matt, Your mom said you're not eating
8748,Caroline, It's gross
8749,Matt, It's the hospital food; it's supposed to be gross
8750,Matt, She also said you're getting released tomorrow morning
8751,Caroline, Morning? I need to get out tonight
8752,Matt," No, the carnival is going to happen without you Caroline. I know it's hard for your neurotic control freak personality to process but Bonnie and Elena have it"
8753,Caroline, I'm not neurotic
8754,Matt, Yeah you are but it's cute so…
8755,Caroline," Look, it's not about the carnival okay? It's just that this place is just really depressing"
8756,Matt, It's because you're sitting in the dark
8757,Caroline, No don't!
8758,Matt, What the hell?
8759,Caroline, Just close it please
8760,Matt, What's wrong with you?
8761,Caroline, Close it!
8762,Matt, I'll just come back later okay?
8763,Damon, Do you care for one?
8764,Stefan," No, thank you. I'm not hungry, just ate"
8765,Damon," Are you worried that one day, all the forest animals are gonna band together and fight back? I mean, surely they talk"
8766,Stefan, I'm just happy that's it's a bl*od bag and not a sorority girl supplying your dinner
8767,Damon," I like this. You, walking on eggs shores around me because you think I'm gonna explode. Very suspencible. Is Elena worried too? I bet I'm your every conversation"
8768,Stefan, Have you heard from Katherine?
8769,Damon," I think the Lockwood's have a family secret because the Gilbert device affected them but vervain didn't so they're not vampires, they're something else"
8770,Stefan, Is this your new obsession?
8771,Damon," You'd rather some unknown supernatural element running upon our town. Fine, I'll drop it"
8772,Stefan," We haven't seen lots of Katherine, you do know that right? We have no idea what she's up to"
8773,Damon, Sure we do. She came back to profess her undying eternal love for you so I'm gonna let you deal with her because I have more important things to do like explode. Shears!
8774,Nurse, That's pretty
8775,Caroline," Yeah, my friend gave it to me"
8776,Nurse, what's wrong?
8777,Caroline," You can't tell anyone, you can't tell anyone!"
8778,Nurse, I can't tell anyone
8779,Caroline, You'll do what I say?
8780,Nurse, I'll do what you say
8781,Caroline, Good because I'm starving
8782,Bonnie, The ring toss is out of Bart and Homer dolls and team Jacob teas
8783,Elena," Okay, I can grab some from the science club. Also we lost a speaker in the karaoke booth"
8784,Bonnie," Hey, all good Elena, take a breath, look around. This is a huge success"
8785,Elena, You mean I can give more than just freak vampire havoc?
8786,Bonnie, Good
8787,Elena," Hey, Carter right? You're with the carnival"
8788,Carter, That'll be me
8789,Elena," Okay, great"
8790,Carter," Wow, what do you need beautiful?"
8791,Bonnie, What do you know about karaoke speakers?
8792,Carter, Why don't you show me the problem?
8793,Elena," Yeah Bonnie, show him the problem"
8794,Bonnie," Okay, come on"
8795,Tyler, What are you doing?
8796,Mason," Nothing, just k*ll time waiting for you"
8797,Tyler, You're looking for something?
8798,Mason, Yeah actually. You know where I can find any family artifact stuff?
8799,Tyler, You drained your trust fund already?
8800,Mason," I did that when I was 22. No, I'm just looking for this old piece of my mom's. My dad gave it to her when they got married. It's a sentimental value. Probably passed out on your dad. It just still be in the house here somewhere"
8801,Tyler, What's it look like?
8802,Mason," It's a moon stone; it's about the size of a hockey puck. Old, ugly, minimal monetary value"
8803,Tyler," Yeah man, whatever. Ask my mom I guess"
8804,Mason," Yeah, cool, I'll do that. You're ready?"
8805,Tyler, Yeah
8806,Damon," Jeremy, it's so good to see you alive"
8807,Jeremy, Aren't you a little old for a high school carnival?
8808,Damon, A hundred and fifty years too old
8809,Jeremy, You're pretty funny cracking jokes when I could I don't know… led the hold of this thing telling by telling someone what you really are
8810,Damon, So please tell that was not a threat
8811,Jeremy, Maybe it is
8812,Damon, This is what we're not gonna do: we're not gonna walk around like we are invincible when it's this easy for me to end you
8813,Damon, If you want to tell people what I really am go ahead and try
8814,Damon, I will sh*t this ring so far up your ass that you'll really have something to choke on
8815,Caroline," The doctor said I'm good as new, he signed me out, he said that I didn't have to wait ‘til morning so call me when you get this"
8816,Caroline," It's dark, thank god. I'm so sorry about that"
8817,Caroline," Okay, now what's the story?"
8818,Nurse, My husband likes to get kinky
8819,Caroline," Yes, good. Okay, so I'm gonna take off. I'm in the comity chair for the carnival and I'm worried it's a complete disaster. I mean god bless Elena, she's not understand the word fabulous"
8820,Caroline, Once again I'm so sorry about that and if you could just forget that I bit you that would be great because I'm going to
8821,Nurse, Forget what?
8822,Caroline, I don't know how that works but its brilliant
8823,Stefan, You're lurking
8824,Damon, I'm observing
8825,Stefan, It's more like obsessing
8826,Damon, He's got strength
8827,Stefan," He's a triple varsity athlete, of course he has strength. You're reaching"
8828,Mason, I bet I could b*at you
8829,Damon, Enter the uncle
8830,Stefan, That's ridiculous
8831,Tyler," Okay, he's the champ, who wants to go next?"
8832,Damon, Stefan wants to go
8833,Stefan," Yeah, sure, I'll… give it a sh*t"
8834,Damon, Give him Stef!
8835,Stefan, My brother over there thinks I could b*at you
8836,Mason, Your brother's wrong
8837,Damon, You didn't put an effort at all
8838,Stefan," Yeah, actually I did"
8839,Damon, Come with me
8840,Damon, Is he…?
8841,Stefan," No, no, I wasn't that kind of strength but it was more than human, it doesn't make sense"
8842,Damon," What is up with that family? They're not vampires, what the hell are they?"
8843,Stefan, Maybe they're ninja turtles
8844,Damon, You're not funny
8845,Stefan," Or zombies, werewolves"
8846,Damon, No comedic timing at all
8847,Stefan, What? What are you up to?
8848,Damon, Since this is reality and there's no such thing as werewolves or combat turtles
8849,Stefan, Ninja turtles
8850,Damon, Hey you!
8851,Carter, I have a name
8852,Damon, Yeah I don't care
8853,Damon," I need you to pick a fight with someone, a kid named Tyler Lockwood"
8854,Stefan," Damon, don't do this"
8855,Damon," It's just an experiment. Get him mad, don't back down no matter what he does okay?"
8856,Carter, I won't back down
8857,Damon, I know you won't
